幼苗序号,height_t,height_m,area_t,area_m,r_mean,g_mean,b_mean,r_std,g_std,b_std,r_offset,g_offset,b_offset,g/b,g/r,g/rgb,r/rgb,b/rgb,ExR,NDI,EXG,ExGR,CIVE,VEG,com,h_mean,s_mean,v_mean,h_std,s_std,v_std,h_thirdMoment,s_thirdMoment,v_thirdMoment,L_mean,a_mean,b_mean,L_std,a_std,b_std,L_offset,a_offset,b_offset,contrast0,contrast90,contrast180,contrast270,dissimilarity0,dissimilarity90,dissimilarity180,dissimilarity270,homogeneity0,homogeneity90,homogeneity180,homogeneity270,energy0,energy90,energy180,energy270 ,correlation0,correlation90,correlation180,correlation270,asm0,asm90,asm180,asm270
第1株,4.3,4.532,6.7586,7.4521,15.50069708,21.20027359,16.26934632,43.23255808,56.23925425,43.92239434,61.42051164,76.5309936,60.76077109,1.303080848,1.367698078,0.400229313,0.292629872,0.307140815,0.009452507,0.155297705,0.20068794,0.191235433,18.71018801,1.344706612,6.444272892,11.38374536,21.73791898,21.25768911,27.12590034,57.37071167,56.21959871,37.37794795,83.85378992,76.50393195,20.89436514,125.2376735,130.4316898,55.48089199,7.309667267,7.48424112,75.38759341,9.91933194,11.63468438,0.509967192,0.585184211,0.471046069,0.773993421,0.092145669,0.107868421,0.091757448,0.130125,0.973095886,0.968467643,0.972622795,0.965286012,0.870342783,0.870452233,0.870306438,0.86935054,0.973832758,0.969949531,0.97589314,0.960245243,0.757496559,0.75768709,0.757433296,0.755770361
第2株,4.3,4.326,11.8572,8.6215,10.86210322,15.92191964,12.08994214,35.24117133,48.4401565,37.62507718,53.87136812,69.58605875,55.27416562,1.316955817,1.4658229,0.409577969,0.279418454,0.311003576,-0.018392133,0.188911742,0.228733907,0.24712604,18.69826718,1.413412234,6.472502597,8.98839924,18.88594278,15.97239019,24.50071097,54.54314548,48.42551229,35.69128857,81.25953942,69.56422171,15.68365453,125.7328418,130.2397152,47.79550419,6.931849912,7.512382308,68.59111204,9.970525028,11.66717331,0.551879076,0.4912305,0.361791218,0.790370316,0.090634793,0.083940808,0.066472812,0.118333576,0.975686082,0.976264494,0.980344237,0.971157457,0.89833655,0.898817598,0.898155492,0.897341873,0.960431179,0.964770051,0.974353921,0.943317245,0.807008557,0.807873075,0.806683288,0.805222437
第3株,3.5,3.865,11.454,9.4852,12.48957077,16.88803106,12.73590244,40.46578738,51.79687663,39.80511538,60.92255858,74.37659585,58.15064788,1.326017621,1.352170653,0.401012249,0.296569259,0.302418492,0.014184714,0.149721557,0.203036747,0.188852033,18.70947223,1.342379839,6.443641396,8.18328837,14.98327229,16.91821844,23.13632401,47.05395616,51.78803368,33.5920696,73.64593689,74.36347126,16.58000863,125.7534344,129.842739,50.89762839,6.907651916,6.568616349,73.01928588,9.941901806,10.68914957,0.365129987,0.482203764,0.368582319,0.576705381,0.066914471,0.079763305,0.061501246,0.093082917,0.979815576,0.977086581,0.982223049,0.975016408,0.900158162,0.89961639,0.899346408,0.898989894,0.977968316,0.970970285,0.977960004,0.965279576,0.810284716,0.809309649,0.808823962,0.80818283
第4株,4.7,4.536,8.8735,7.562,28.38996906,33.65917389,26.60943709,65.36422784,75.9307373,60.36906658,84.11889409,96.1742223,76.8374739,1.264933707,1.185600936,0.379649368,0.320216826,0.300133806,0.068654188,0.084919865,0.138948104,0.070293917,18.7363465,1.210258264,6.384745278,15.35978533,23.12179064,33.7099151,31.05863285,57.8969693,75.90939265,39.62279551,85.56644393,96.14724713,32.93241836,124.6594965,129.9119562,74.31732288,7.552390686,5.193280131,93.99092758,9.63558334,7.925465479,0.873581979,1.351688044,0.800867392,1.087505529,0.12986612,0.180495356,0.116054102,0.155277901,0.965314499,0.955591363,0.968110273,0.959987713,0.831057051,0.829612172,0.831948339,0.83033201,0.977093485,0.964546176,0.978983242,0.971471897,0.690655821,0.688256356,0.69213804,0.689451248
第5株,5.2,4.985,6.0045,8.6035,21.91924901,28.6345991,20.94019699,51.22304549,65.67380329,48.62509613,66.78365093,83.7415781,62.92667296,1.367446501,1.306367709,0.400517261,0.306588457,0.292894282,0.02870658,0.132835587,0.201551782,0.172845203,18.71062531,1.325188007,6.436778178,12.37835492,18.23592414,28.65836932,26.88471749,46.27046021,65.66404733,34.69608794,70.34106069,83.72912227,28.01158525,124.0856758,130.6380069,64.25418921,8.966644776,6.65199235,81.83986913,11.4073732,9.718380772,0.375851603,0.433018868,0.301648274,0.542601787,0.068800362,0.080245425,0.059783531,0.093460065,0.978246202,0.974655762,0.980161918,0.971697029,0.837839742,0.837420835,0.838273877,0.836894402,0.986034913,0.983933575,0.988789451,0.979862254,0.701975433,0.701273655,0.702703093,0.700392241
第6株,3.2,3.512,6.899,4.065,17.29502926,24.04839522,18.25045864,45.43740829,62.37862305,47.87798772,61.52475654,83.10270397,64.65571956,1.317687171,1.39048017,0.40353798,0.29021484,0.30624718,0.002762796,0.163348006,0.21061394,0.207851144,18.70609561,1.364614686,6.452827211,10.50622198,19.02728217,24.09595711,25.32320121,52.0251223,62.3616415,35.14461766,78.82176453,83.07935577,23.48210521,124.7669355,130.8348829,60.97181375,8.487533441,7.591712612,81.1949023,11.42328161,10.46282098,0.417518703,0.6928375,0.467506234,0.63700625,0.078216958,0.1137,0.083391521,0.10404375,0.976400478,0.969581992,0.975800101,0.970871329,0.869157176,0.867857413,0.868982664,0.86825663,0.98249042,0.970964507,0.980396528,0.973301038,0.755434197,0.75317649,0.755130871,0.753869576
第7株,3.5,3.648,3.0899,4.3251,5.508390626,7.388159436,6.025337209,28.20604828,37.36163091,30.66318622,48.73114444,63.80265894,52.55842166,1.226181901,1.341255539,0.390455737,0.291112115,0.318432148,0.017101224,0.145757493,0.17136721,0.154265986,18.72179222,1.301082925,6.424299817,4.043468676,8.335308138,7.41767818,17.56631386,39.33069319,37.35719273,30.2553325,69.33664184,63.79304655,7.240414158,127.1965735,128.8005056,36.6877565,4.136020489,4.263325026,62.61301942,7.194544562,7.611409615,0.283563943,0.349632964,0.223335635,0.360540166,0.04160651,0.049688366,0.033984807,0.04867036,0.989914312,0.98851172,0.991255474,0.988658201,0.961374547,0.961153067,0.96155232,0.961304909,0.967495216,0.959884367,0.974481103,0.958615126,0.92424102,0.923815219,0.924582864,0.924107127
第8株,2.3,2.651,3.9966,2.0365,20.41970283,28.52379497,21.27486298,48.42189655,66.70618863,50.12816775,62.8852325,85.30484907,64.7539123,1.340727552,1.396876106,0.40621562,0.290802898,0.302981482,0.000908438,0.165580567,0.21864686,0.217738423,18.70292608,1.376658909,6.458241152,12.08007836,20.91631645,28.56617509,26.50956692,52.64384086,66.689183,35.326474,78.08125025,85.28269934,27.81887204,124.0359338,131.3680979,65.08941179,9.424124073,8.33489461,83.16088754,12.2490852,11.44532981,0.508804804,0.789497207,0.382945682,0.501578212,0.097765363,0.135656425,0.081093315,0.099217877,0.970030589,0.961813237,0.97339802,0.968323668,0.844668895,0.843149952,0.84521663,0.844479035,0.981254309,0.97093309,0.985892116,0.981540354,0.713465542,0.710901842,0.714391152,0.713144841
第9株,4.5,4.561,5.4387,5.1623,21.56687889,29.25161259,21.97446328,52.37844546,70.50374529,53.3080745,68.31042184,91.04876536,69.37189739,1.331163916,1.356321085,0.401846754,0.296277009,0.301876237,0.012941058,0.151219241,0.205540262,0.192599204,18.70845779,1.346642518,6.445580702,11.59865002,19.00546817,29.29298263,26.18237278,50.28990827,70.48762423,35.23559749,76.65790189,91.02742035,28.37009432,124.1290976,131.107211,68.42754014,9.435220944,7.678172857,88.32269468,12.30610931,10.19536015,0.546742388,0.801316527,0.368282123,0.568235294,0.0922344,0.121386555,0.068282123,0.097128852,0.973492951,0.967653964,0.978550902,0.971500445,0.85229889,0.850937567,0.853240518,0.85184953,0.982302631,0.974116004,0.988076199,0.981644956,0.726413398,0.724094744,0.728019382,0.725647622
第10株,3.2,3.45,10.2233,10.254,12.39182957,16.7185933,12.80029094,40.09396121,53.5468438,41.3964173,58.55710587,77.29160588,60.41608316,1.306110414,1.349162625,0.398909772,0.295672119,0.305418109,0.015031194,0.148632803,0.196729317,0.181698122,18.71193655,1.333650485,6.439652533,7.616744429,13.45336927,16.75331161,22.41635326,45.39609938,53.53710468,33.28948806,73.62529061,77.27655789,16.33694661,125.8569705,129.7844636,52.38069936,6.958214036,5.98919069,75.57803547,10.17201051,9.076100496,0.350027895,0.48097035,0.378669355,0.565700809,0.055360252,0.072048518,0.057755376,0.079380054,0.984773105,0.981397037,0.984538467,0.980259729,0.909787056,0.909104918,0.909771948,0.908806411,0.980283967,0.972969404,0.978666923,0.968207542,0.827712486,0.826471753,0.827684996,0.825929093
第11株,2.7,2.751,6.5159,5.2369,14.07310103,18.6594325,14.60359911,43.60341325,55.09856267,43.82540126,64.84659629,78.25520305,63.09148087,1.277728343,1.325893452,0.39419005,0.297301453,0.308508496,0.022031985,0.140115383,0.18257015,0.160538166,18.71767258,1.308603102,6.428581162,9.339071241,17.26898969,18.7040709,24.79761336,51.68398009,55.08485845,35.4235734,79.45176923,78.23546828,18.36274853,125.7504819,129.9437892,54.219543,6.649233363,6.511333229,76.84783168,9.442971427,10.20113779,0.426608108,0.569098916,0.451202617,0.656321138,0.078972973,0.097310298,0.077705465,0.110304878,0.976985078,0.972817051,0.97783258,0.9704896,0.891705456,0.891685703,0.891639195,0.890814148,0.977667666,0.970117227,0.976388935,0.965537436,0.795138621,0.795103393,0.795020454,0.793549847
第12株,3,3.451,4.7126,4.2358,6.310430043,9.918680006,7.621001941,27.51734024,39.31788644,31.00719039,47.44546506,62.57514652,50.44926399,1.301492912,1.571791453,0.415875616,0.264587019,0.319537365,-0.045453788,0.222331967,0.247626847,0.293080635,18.68990464,1.475162731,6.495757094,5.619702852,13.36980738,9.954091384,19.88385114,48.1206325,39.31061763,31.98983832,76.26984287,62.562207,9.756794087,126.5569882,129.6320815,38.72678798,5.78114234,6.99290813,61.53525971,9.224894426,11.62519805,0.319375608,0.338010195,0.258755184,0.455051836,0.058763195,0.061692528,0.049559059,0.07620356,0.983724674,0.982775879,0.985685022,0.980685428,0.936541715,0.936866945,0.936553598,0.93591995,0.964902141,0.962787585,0.971784961,0.949870786,0.877110384,0.877719673,0.877132642,0.875946153
第13株,3.1,3.472,9.7014,9.568,2.643198073,4.889384928,3.833712264,15.76786398,27.62257806,22.06774575,29.44900888,49.39210647,39.96588217,1.275365649,1.849798915,0.430165222,0.232547018,0.33728776,-0.104599397,0.298196098,0.290495667,0.395095063,18.67102003,1.633703839,6.550085984,2.829895355,7.915598886,4.912873598,14.48383344,38.29129731,27.61999215,26.86345369,66.55369141,49.38509447,4.810953851,127.2461266,129.046217,27.23498917,4.369465187,6.03668755,48.66278246,7.941272311,10.86967123,0.126762796,0.097568546,0.14437877,0.269284341,0.024165786,0.024004179,0.027885348,0.041808602,0.993197999,0.992339314,0.992370401,0.990573811,0.968323633,0.968393118,0.967956965,0.967483671,0.970093137,0.977051608,0.966185291,0.936584816,0.937650659,0.937785231,0.936940687,0.936024654
